city,prop_desc,prop_size(lower),prop_price
reading,"Unit 10D2, Beaver Industrial Park, Brent Road, Southall, UB2 5FB","16,618 ",4569950
reading,"Unit 10D1, Beaver Industrial Park, Brent Road, Southall, UB2 5FB","6,553 ",1965900
reading,"Unit 10D, Beaver Industrial Park, Brent Road, UB2 5FB","23,172 ",6372300
reading,"Development Opportunity, 25 Kings Road, Haslemere, GU27 2QA","1,800 ",425000
reading,"Freehold NatWest - Former in Teddington , 6 High Street, Teddington, TW11 8EW","2,160 ",1400000
reading,"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ","4,162 ",1100000
reading,"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG","1,760 ",495000
reading,"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD","3,071 ",875000
reading,"Town Centre New Modern Office, Rear of 14 High Street, Haslemere, GU27 2JE","1,238 ",450000
reading,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",988," 5,335 "
reading,"2 High Street, Great Bookham, KT23 4AF","2,416 ",675000
reading,"Self Contained Offices with On Site Parking, 72 Station Road, Liss, GU33 7AD","1,595 ",265000
reading,"Unit 18 Smeaton Road, West Portway Industrial Estate, Andover, SP10 3LF","11,579 ",575000
reading,"Units 1 - 2, Wadsworth Close, Perivale, UB6 7JF","33,332 ",5600000
reading,"Unit 27 Wadsworth Business Centre, 21 Wadsworth Road, Perivale, UB6 7LQ","1,921 ",500000
reading,"Station Road, Harrow HA1, HA1 2RX, Greenhill, HA1 2RX","1,500 ",110000
reading,"340 - 342 Athlon Road, Alperton, HA0 1BX","33,552 ",8250000
reading,"Horizon East & Horizon West, Randalls Way, Leatherhead, KT22 7TW","9,890 ",3150000
reading,"B1 Office Suitable For Other Uses, Kentonian Close, Harrow, HA3 8FF",206," 1,500 "
reading,"2 Bridge Street, Leatherhead, KT22 8BZ","2,228 ",900000
reading,"Retail Premises with Offices Above, 202- 204 High Street, Cranleigh, GU6 8RL","1,400 ",495000
oxford,"41A Magdalen Road, Oxford, OX4 1RB","2,312 ",485000
oxford,"Willow Court, Minns Business Park, Oxford, OX2 0JB","22,526 ",8500000
oxford,"7 Vineyard Chambers, Vineyard, Abingdon, OX14 3PX","2,015 ",395000
oxford,"98 Ock Street, Abingdon, OX14 5DH","1,012 ",200000
oxford,"94 Ock Street, Abingdon, OX14 5DH","1,514 ",275000
oxford,"For Sale - Former Natwest Property in Didcot, Oxfo, 124 Broadway, Didcot, OX11 8AD","1,452 ",200000
oxford,"Unit C5 Regent Park, Summerleys Road, Princes Risborough, HP27 9LE","3,307 ",545000
oxford,"Well Secured Warehouse Investment, Unit 8 Lane End Industrial Park, West Wycombe, HP14 3BY","4,632 ",435000
oxford,"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU","2,475 ",825000
oxford,"Industrial / Warehouse and Offices, Unit B/C Cetec House, Lincoln Road, Cressex Business Park, High Wycombe, HP12 1RG","3,320 ",1850000
oxford,"Burch House Lincolns Inn Office Village, Lincoln R, High Wycombe, HP12 3RE","1,874 ",450000
oxford,"Offices Suitable For Alternative Uses, 4 Newmans Row, Lincolns Inn Office Village, Lincoln Road, High Wycombe, HP12 3RE","2,034 ",457500
