,city,prop_size(lower),out_code,prop_price
520,high,Wye Business Park Thomas Road Wooburn Green High Wycombe HP10 0PF,, 32140 
521,high,Industrial Units With B2/B8 Uses  Summerleys Business Centre Summerleys Road Princes Risborough HP27 9EQ,, 13543 
522,high,Unit C5 Regent Park Summerleys Road Princes Risborough HP27 9LE,, 4591 
523,high,Rear Warehouse & Yard Kingsmead Business Park How Thame OX9 3FB,, 70633 
524,high,Tavis House Business Centre Thame Road Haddenham HP17 8LJ,, 76100 
525,high,Phase 3 Aston41 College Road North Aston Clinton HP22 5EZ,, 54639 
526,high,Symmetry Park Aston Clinton College Road North Aston Clinton HP22 5EZ,, 450000 
527,high,Bracknell Branch Meridian Business Park Fishponds Road Wokingham RG41 2GZ,, 4342 
528,high,New build units to let available from Q4 2018 Segro Park Middlesex UB3 4QR,, 97600 
529,high,Site at r/o Grovebury Road Retail Park Leighton Buzzard LU7 4UX,, 20000 
530,high,Units 1 & 2 Total Park Station Road Theale RG7 4PN,, 45209 
531,high,Office Suites In Attractive Landscaped Grounds Units 8 & 9 Theale Lakes Moulden Way Theale RG7 4GB,, 4100 
532,high,Fully Refurbished Office Accommodation  Cherry Barns Harwell OX11 0EY,, 3710 
533,high,Oakmere House Barley Way Ancells Business Park Fleet GU51 2UT,, 8115 
534,high,Units 3 & 4 Byfleet Technical Centre Canada Road Byfleet KT14 7JX,, 6800 
535,high,The Hawker Building Wellington Way Weybridge KT13 0NY,, 24878 
536,high,Botanic House 309-317 Chiswick High Road London W4 4HH,, 4668 
537,high,11-13 The IO Centre Hearle Way Hatfield AL10 9EW,, 4685 
538,high,Butterfield Business Park Luton LU2 8DD,, 100000 
539,high,Design and Build at Butterfield Great Marlings Luton LU2 8DL,, 130000 
540,high,Self Contained Office Suites Whetstone Square 1060-1072 High Road Whetstone N20 0QP,, 3450 
541,high,Stratfield House Station Road Hook RG27 9PQ,, 10958 
542,high,BUILD TO SUIT INDUSTRIAL / WAREHOUSE UNITS - 1000 Axis J9 Phase 3 Bicester OX26 1RT,, 250000 
543,high,Beacon Point Church Crookham Fleet GU52 8DY,, 22884 
544,high,Beacon Hill Road  Fleet GU52 8DY,, 45703 
545,high,Tangley Place Barn Tangley Lane Guildford GU3 3JZ,, 10760 
546,high,Two Commercial Premises With B1 Consent 175 Wandsworth High Street Wandsworth SW18 4JB,, 2732 
547,high,Fortess Works Fortess Grove Kentish Town London NW5 2HD,, 8030 
548,high,Office / Residential Opportunity 40 Great Smith Street Westminster SW1P 3BU,, 4645 
549,high,One Springfield Drive Springfield Drive Leatherhead KT22 7NL,, 39695 
550,high,Horizon East & Horizon West Randalls Way Leatherhead KT22 7TW,, 20711 
551,high,6 Arlington Court Whittle Way Stevenage SG1 2FS,, 6184 
552,basingstoke,2067 ,RG26,225000
553,basingstoke,2552 ,RG29,560000
554,basingstoke,987,RG7, 1975 
555,basingstoke,1352 ,GU34,285000
556,basingstoke,2050 ,RG7,225
557,basingstoke,2729 ,GU10,395000
558,basingstoke,25590 ,RG7,225
559,basingstoke,19618 ,RG7,225
560,basingstoke,19618 ,RG7,225
561,basingstoke,17987 ,RG2,3200000
562,basingstoke,5666 ,GU46,750000
563,basingstoke,26692 ,RG2,4400000
564,basingstoke,685,RG6, 2100 
565,basingstoke,10560 ,RG2,1200000
566,basingstoke,8712 ,RG40,650000
567,basingstoke,2566 ,GU9,515000
568,basingstoke,1340 ,RG1,340000
569,basingstoke,1061 ,RG1,650000
570,basingstoke,2849 ,GU11,425000
571,basingstoke,1813 ,GU11,300000
572,basingstoke,12805 ,RG1,1000000
573,basingstoke,1721 ,RG40,500000
574,basingstoke,4141 ,GU14,975000
575,basingstoke,1448 ,GU15,350000
576,basingstoke,10596 ,RG4,625000
577,basingstoke,4024 ,SO23,1000000
578,basingstoke,1595 ,GU33,265000
579,basingstoke,20532 ,GU31,2000000
580,basingstoke,11579 ,SP10,575000
581,basingstoke,1429 ,GU7,595000
582,basingstoke,1800 ,GU27,425000
583,basingstoke,1760 ,GU27,495000
584,basingstoke,3071 ,GU27,875000
585,basingstoke,1238 ,GU27,450000
586,basingstoke,4000 ,GU7,895000
587,basingstoke,2000 ,GU2,60000
588,basingstoke,1763 ,GU7,395000
589,basingstoke,9185 ,GU7,1850000
590,basingstoke,1378 ,GU2,395000
591,basingstoke,1661 ,GU2,700000
