,prop_desc,prop_price(£),prop_size(lower) SQ Ft,prop_size(upper) SQ Ft
11088,"PLOT 2, PINEWOOD, TINTAGEL ROAD, Finchampstead, RG40 3JJ",650000.0,"8,712 ",
11089,"Ryefield Avenue, Uxbridge UB10, UB10 9DA, North Hillingdon, UB10 9DA",269950.0,"1,431 ",
11090,"FOR SALE / TO LET- INDUSTRIAL UNIT, Unit B, Crosspoint Distribution Park, Swallowfield, Stockley Park, UB3 1DQ",,"23,294 ",
11091,"Bracknell Branch, 182-184 Dukes Ride, Crowthorne, RG45 6DS",,"1,614 ",
11092,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11093,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11094,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11095,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11096,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11097,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11098,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11099,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11100,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11101,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11102,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11103,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11104,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11105,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11106,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11107,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11108,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11109,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11110,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11111,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11112,"Parkgate House, 185-187 London Road, Camberley, GU15 3JS",210000.0,461 ,
11113,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11114,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11115,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11116,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11117,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11118,"Parkgate House, 185-187 London Road, Camberley, GU15 3JS",210000.0,461 ,
11119,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR",,"24,555 "," 97,600 "
11120,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11121,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11122,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11123,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11124,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11125,"Parkgate House, 185-187 London Road, Camberley, GU15 3JS",210000.0,461 ,
11126,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR",,"24,555 "," 97,600 "
11127,"Bracknell Branch, The Old Theatre, Liberta House, Scotland Hill, Sandhurst, GU47 8JR",,"7,715 ",
11128,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11129,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11130,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11131,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11132,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11133,"Parkgate House, 185-187 London Road, Camberley, GU15 3JS",210000.0,461 ,
11134,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR",,"24,555 "," 97,600 "
11135,"Bracknell Branch, The Old Theatre, Liberta House, Scotland Hill, Sandhurst, GU47 8JR",,"7,715 ",
11136,"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU",825000.0,"2,475 ",
11137,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11138,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11139,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11140,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11141,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11142,"Parkgate House, 185-187 London Road, Camberley, GU15 3JS",210000.0,461 ,
11143,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR",,"24,555 "," 97,600 "
11144,"Bracknell Branch, The Old Theatre, Liberta House, Scotland Hill, Sandhurst, GU47 8JR",,"7,715 ",
11145,"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU",825000.0,"2,475 ",
11146,"Rear of Unit 10, Boeing Way, Southall, UB2 5LB",,"10,600 ",
11147,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11148,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11149,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11150,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11151,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11152,"Parkgate House, 185-187 London Road, Camberley, GU15 3JS",210000.0,461 ,
11153,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR",,"24,555 "," 97,600 "
11154,"Bracknell Branch, The Old Theatre, Liberta House, Scotland Hill, Sandhurst, GU47 8JR",,"7,715 ",
11155,"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU",825000.0,"2,475 ",
11156,"Rear of Unit 10, Boeing Way, Southall, UB2 5LB",,"10,600 ",
11157,"Trade Counter Unit In Prominent Position, 24 Richfield Avenue, Reading, RG1 8EQ",,"16,548 ",
11158,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11159,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11160,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11161,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11162,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11163,"Parkgate House, 185-187 London Road, Camberley, GU15 3JS",210000.0,461 ,
11164,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR",,"24,555 "," 97,600 "
11165,"Bracknell Branch, The Old Theatre, Liberta House, Scotland Hill, Sandhurst, GU47 8JR",,"7,715 ",
11166,"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU",825000.0,"2,475 ",
11167,"Rear of Unit 10, Boeing Way, Southall, UB2 5LB",,"10,600 ",
11168,"Trade Counter Unit In Prominent Position, 24 Richfield Avenue, Reading, RG1 8EQ",,"16,548 ",
11169,"Two Detached Industrial Units In Secure Yard, 1-3 Trafford Road, Reading, RG1 8JP",1000000.0,"12,805 ",
11170,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11171,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11172,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11173,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11174,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11175,"Parkgate House, 185-187 London Road, Camberley, GU15 3JS",210000.0,461 ,
11176,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR",,"24,555 "," 97,600 "
11177,"Bracknell Branch, The Old Theatre, Liberta House, Scotland Hill, Sandhurst, GU47 8JR",,"7,715 ",
11178,"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU",825000.0,"2,475 ",
11179,"Rear of Unit 10, Boeing Way, Southall, UB2 5LB",,"10,600 ",
11180,"Trade Counter Unit In Prominent Position, 24 Richfield Avenue, Reading, RG1 8EQ",,"16,548 ",
11181,"Two Detached Industrial Units In Secure Yard, 1-3 Trafford Road, Reading, RG1 8JP",1000000.0,"12,805 ",
11182,"FOR SALE - WAREHOUSE UNIT , Vitesse House, Ashford Road, Ashford, TW15 1XB",,"9,272 ",
11183,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11184,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11185,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11186,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11187,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11188,"Parkgate House, 185-187 London Road, Camberley, GU15 3JS",210000.0,461 ,
11189,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR",,"24,555 "," 97,600 "
11190,"Bracknell Branch, The Old Theatre, Liberta House, Scotland Hill, Sandhurst, GU47 8JR",,"7,715 ",
11191,"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU",825000.0,"2,475 ",
11192,"Rear of Unit 10, Boeing Way, Southall, UB2 5LB",,"10,600 ",
11193,"Trade Counter Unit In Prominent Position, 24 Richfield Avenue, Reading, RG1 8EQ",,"16,548 ",
11194,"Two Detached Industrial Units In Secure Yard, 1-3 Trafford Road, Reading, RG1 8JP",1000000.0,"12,805 ",
11195,"FOR SALE - WAREHOUSE UNIT , Vitesse House, Ashford Road, Ashford, TW15 1XB",,"9,272 ",
11196,"179a Oxford Road, Reading, RG1 7UZ",650000.0,"1,487 ",
11197,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11198,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11199,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11200,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11201,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11202,"Parkgate House, 185-187 London Road, Camberley, GU15 3JS",210000.0,461 ,
11203,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR",,"24,555 "," 97,600 "
11204,"Bracknell Branch, The Old Theatre, Liberta House, Scotland Hill, Sandhurst, GU47 8JR",,"7,715 ",
11205,"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU",825000.0,"2,475 ",
11206,"Rear of Unit 10, Boeing Way, Southall, UB2 5LB",,"10,600 ",
11207,"Trade Counter Unit In Prominent Position, 24 Richfield Avenue, Reading, RG1 8EQ",,"16,548 ",
11208,"Two Detached Industrial Units In Secure Yard, 1-3 Trafford Road, Reading, RG1 8JP",1000000.0,"12,805 ",
11209,"FOR SALE - WAREHOUSE UNIT , Vitesse House, Ashford Road, Ashford, TW15 1XB",,"9,272 ",
11210,"179a Oxford Road, Reading, RG1 7UZ",650000.0,"1,487 ",
11211,"150-152 Great South West Road, Hounslow, Heathrow, TW4 6NF",4500000.0,"37,462 ",
11212,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11213,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11214,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11215,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11216,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11217,"Parkgate House, 185-187 London Road, Camberley, GU15 3JS",210000.0,461 ,
11218,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR",,"24,555 "," 97,600 "
11219,"Bracknell Branch, The Old Theatre, Liberta House, Scotland Hill, Sandhurst, GU47 8JR",,"7,715 ",
11220,"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU",825000.0,"2,475 ",
11221,"Rear of Unit 10, Boeing Way, Southall, UB2 5LB",,"10,600 ",
11222,"Trade Counter Unit In Prominent Position, 24 Richfield Avenue, Reading, RG1 8EQ",,"16,548 ",
11223,"Two Detached Industrial Units In Secure Yard, 1-3 Trafford Road, Reading, RG1 8JP",1000000.0,"12,805 ",
11224,"FOR SALE - WAREHOUSE UNIT , Vitesse House, Ashford Road, Ashford, TW15 1XB",,"9,272 ",
11225,"179a Oxford Road, Reading, RG1 7UZ",650000.0,"1,487 ",
11226,"150-152 Great South West Road, Hounslow, Heathrow, TW4 6NF",4500000.0,"37,462 ",
11227,"Unit 10D2, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",4569950.0,"16,618 ",
11228,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11229,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11230,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11231,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11232,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11233,"Parkgate House, 185-187 London Road, Camberley, GU15 3JS",210000.0,461 ,
11234,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR",,"24,555 "," 97,600 "
11235,"Bracknell Branch, The Old Theatre, Liberta House, Scotland Hill, Sandhurst, GU47 8JR",,"7,715 ",
11236,"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU",825000.0,"2,475 ",
11237,"Rear of Unit 10, Boeing Way, Southall, UB2 5LB",,"10,600 ",
11238,"Trade Counter Unit In Prominent Position, 24 Richfield Avenue, Reading, RG1 8EQ",,"16,548 ",
11239,"Two Detached Industrial Units In Secure Yard, 1-3 Trafford Road, Reading, RG1 8JP",1000000.0,"12,805 ",
11240,"FOR SALE - WAREHOUSE UNIT , Vitesse House, Ashford Road, Ashford, TW15 1XB",,"9,272 ",
11241,"179a Oxford Road, Reading, RG1 7UZ",650000.0,"1,487 ",
11242,"150-152 Great South West Road, Hounslow, Heathrow, TW4 6NF",4500000.0,"37,462 ",
11243,"Unit 10D2, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",4569950.0,"16,618 ",
11244,"Unit 10D1, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",1965900.0,"6,553 ",
11245,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11246,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11247,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11248,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11249,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11250,"Parkgate House, 185-187 London Road, Camberley, GU15 3JS",210000.0,461 ,
11251,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR",,"24,555 "," 97,600 "
11252,"Bracknell Branch, The Old Theatre, Liberta House, Scotland Hill, Sandhurst, GU47 8JR",,"7,715 ",
11253,"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU",825000.0,"2,475 ",
11254,"Rear of Unit 10, Boeing Way, Southall, UB2 5LB",,"10,600 ",
11255,"Trade Counter Unit In Prominent Position, 24 Richfield Avenue, Reading, RG1 8EQ",,"16,548 ",
11256,"Two Detached Industrial Units In Secure Yard, 1-3 Trafford Road, Reading, RG1 8JP",1000000.0,"12,805 ",
11257,"FOR SALE - WAREHOUSE UNIT , Vitesse House, Ashford Road, Ashford, TW15 1XB",,"9,272 ",
11258,"179a Oxford Road, Reading, RG1 7UZ",650000.0,"1,487 ",
11259,"150-152 Great South West Road, Hounslow, Heathrow, TW4 6NF",4500000.0,"37,462 ",
11260,"Unit 10D2, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",4569950.0,"16,618 ",
11261,"Unit 10D1, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",1965900.0,"6,553 ",
11262,"Unit 10D, Beaver Industrial Park, Brent Road, UB2 5FB",6372300.0,"23,172 ",
11263,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11264,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11265,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11266,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11267,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11268,"Parkgate House, 185-187 London Road, Camberley, GU15 3JS",210000.0,461 ,
11269,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR",,"24,555 "," 97,600 "
11270,"Bracknell Branch, The Old Theatre, Liberta House, Scotland Hill, Sandhurst, GU47 8JR",,"7,715 ",
11271,"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU",825000.0,"2,475 ",
11272,"Rear of Unit 10, Boeing Way, Southall, UB2 5LB",,"10,600 ",
11273,"Trade Counter Unit In Prominent Position, 24 Richfield Avenue, Reading, RG1 8EQ",,"16,548 ",
11274,"Two Detached Industrial Units In Secure Yard, 1-3 Trafford Road, Reading, RG1 8JP",1000000.0,"12,805 ",
11275,"FOR SALE - WAREHOUSE UNIT , Vitesse House, Ashford Road, Ashford, TW15 1XB",,"9,272 ",
11276,"179a Oxford Road, Reading, RG1 7UZ",650000.0,"1,487 ",
11277,"150-152 Great South West Road, Hounslow, Heathrow, TW4 6NF",4500000.0,"37,462 ",
11278,"Unit 10D2, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",4569950.0,"16,618 ",
11279,"Unit 10D1, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",1965900.0,"6,553 ",
11280,"Unit 10D, Beaver Industrial Park, Brent Road, UB2 5FB",6372300.0,"23,172 ",
11281,"448a, Basingstoke Road, Reading, RG2 0RX",4400000.0,"26,692 ",
11282,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11283,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11284,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11285,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11286,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11287,"Parkgate House, 185-187 London Road, Camberley, GU15 3JS",210000.0,461 ,
11288,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR",,"24,555 "," 97,600 "
11289,"Bracknell Branch, The Old Theatre, Liberta House, Scotland Hill, Sandhurst, GU47 8JR",,"7,715 ",
11290,"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU",825000.0,"2,475 ",
11291,"Rear of Unit 10, Boeing Way, Southall, UB2 5LB",,"10,600 ",
11292,"Trade Counter Unit In Prominent Position, 24 Richfield Avenue, Reading, RG1 8EQ",,"16,548 ",
11293,"Two Detached Industrial Units In Secure Yard, 1-3 Trafford Road, Reading, RG1 8JP",1000000.0,"12,805 ",
11294,"FOR SALE - WAREHOUSE UNIT , Vitesse House, Ashford Road, Ashford, TW15 1XB",,"9,272 ",
11295,"179a Oxford Road, Reading, RG1 7UZ",650000.0,"1,487 ",
11296,"150-152 Great South West Road, Hounslow, Heathrow, TW4 6NF",4500000.0,"37,462 ",
11297,"Unit 10D2, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",4569950.0,"16,618 ",
11298,"Unit 10D1, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",1965900.0,"6,553 ",
11299,"Unit 10D, Beaver Industrial Park, Brent Road, UB2 5FB",6372300.0,"23,172 ",
11300,"448a, Basingstoke Road, Reading, RG2 0RX",4400000.0,"26,692 ",
11301,"Mixed Use Business Premises, 115 Reading Road, Finchampstead, GU46 7LR",750000.0,"5,666 ",
11302,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11303,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11304,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11305,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11306,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11307,"Parkgate House, 185-187 London Road, Camberley, GU15 3JS",210000.0,461 ,
11308,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR",,"24,555 "," 97,600 "
11309,"Bracknell Branch, The Old Theatre, Liberta House, Scotland Hill, Sandhurst, GU47 8JR",,"7,715 ",
11310,"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU",825000.0,"2,475 ",
11311,"Rear of Unit 10, Boeing Way, Southall, UB2 5LB",,"10,600 ",
11312,"Trade Counter Unit In Prominent Position, 24 Richfield Avenue, Reading, RG1 8EQ",,"16,548 ",
11313,"Two Detached Industrial Units In Secure Yard, 1-3 Trafford Road, Reading, RG1 8JP",1000000.0,"12,805 ",
11314,"FOR SALE - WAREHOUSE UNIT , Vitesse House, Ashford Road, Ashford, TW15 1XB",,"9,272 ",
11315,"179a Oxford Road, Reading, RG1 7UZ",650000.0,"1,487 ",
11316,"150-152 Great South West Road, Hounslow, Heathrow, TW4 6NF",4500000.0,"37,462 ",
11317,"Unit 10D2, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",4569950.0,"16,618 ",
11318,"Unit 10D1, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",1965900.0,"6,553 ",
11319,"Unit 10D, Beaver Industrial Park, Brent Road, UB2 5FB",6372300.0,"23,172 ",
11320,"448a, Basingstoke Road, Reading, RG2 0RX",4400000.0,"26,692 ",
11321,"Mixed Use Business Premises, 115 Reading Road, Finchampstead, GU46 7LR",750000.0,"5,666 ",
11322,"Retail Unit with Residential Above, 126 High Street, Camberley, GU15 2QN",350000.0,"1,448 ",
11323,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11324,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11325,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11326,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11327,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
11328,"Parkgate House, 185-187 London Road, Camberley, GU15 3JS",210000.0,461 ,
11329,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR",,"24,555 "," 97,600 "
11330,"Bracknell Branch, The Old Theatre, Liberta House, Scotland Hill, Sandhurst, GU47 8JR",,"7,715 ",
11331,"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU",825000.0,"2,475 ",
11332,"Rear of Unit 10, Boeing Way, Southall, UB2 5LB",,"10,600 ",
11333,"Trade Counter Unit In Prominent Position, 24 Richfield Avenue, Reading, RG1 8EQ",,"16,548 ",
11334,"Two Detached Industrial Units In Secure Yard, 1-3 Trafford Road, Reading, RG1 8JP",1000000.0,"12,805 ",
11335,"FOR SALE - WAREHOUSE UNIT , Vitesse House, Ashford Road, Ashford, TW15 1XB",,"9,272 ",
11336,"179a Oxford Road, Reading, RG1 7UZ",650000.0,"1,487 ",
11337,"150-152 Great South West Road, Hounslow, Heathrow, TW4 6NF",4500000.0,"37,462 ",
11338,"Unit 10D2, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",4569950.0,"16,618 ",
11339,"Unit 10D1, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",1965900.0,"6,553 ",
11340,"Unit 10D, Beaver Industrial Park, Brent Road, UB2 5FB",6372300.0,"23,172 ",
11341,"448a, Basingstoke Road, Reading, RG2 0RX",4400000.0,"26,692 ",
11342,"Mixed Use Business Premises, 115 Reading Road, Finchampstead, GU46 7LR",750000.0,"5,666 ",
11343,"Retail Unit with Residential Above, 126 High Street, Camberley, GU15 2QN",350000.0,"1,448 ",
11344,"Cliffords Yard, 1 Long Drive, South Ruislip, HA4 0HG",,"23,512 ",
11345,"Unit B, Crosspoint Distribution Park, Swallowfield Way, Hayes Hillingdon, UB3 1DQ",,"23,294 ",
11346,"Bracknell Branch, 16 Wellington Business Park, Crowthorne, RG45 6LS",,"1,534 ",
11347,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL",625000.0,"10,596 ",
11348,"Commercial Premises With Excellent Parking, Unit 1 Cutbush Court , Danehill, Earley, RG6 4UW",550000.0,685 ," 2,100 "
11349,"Third Floor, 118-128 London Street, Reading, RG1 4SJ",340000.0,"1,340 ",
